gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000272426	3.9566	3.895	3.0187	3.8099	3.0187	3.4764	3.0187	3.7818
ENSG00000117122	8.6358	10.0505	10.57	7.6854	9.1211	9.1833	9.9771	9.5852
ENSG00000226526	3.0187	3.0187	4.1046	3.0187	3.437	3.0187	3.697	3.0187
ENSG00000159363	10.321	11.3821	10.5189	10.1028	7.3023	7.2436	8.2319	8.3533
ENSG00000117118	11.3287	11.4268	11.1972	11.0906	10.2742	10.0626	10.3309	10.8239
ENSG00000117115	4.7699	4.9175	3.0187	4.6328	3.6083	4.2015	4.0772	3.0187
ENSG00000282843	3.0187	3.4618	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187
ENSG00000142623	3.9566	3.9948	3.0187	3.0187	3.6083	5.8753	3.697	3.0187
ENSG00000142619	3.618	3.4618	3.0187	3.0187	3.0187	3.0187	3.697	3.0187
ENSG00000179051	11.9159	11.1092	12.1638	12.105	11.4724	11.2664	11.5105	11.8819
ENSG00000074964	8.3678	3.9948	6.1911	5.4833	5.0644	3.9232	5.0619	5.0877
ENSG00000117154	3.0187	3.0187	3.0187	3.0187	3.437	3.0187	3.0187	3.0187
ENSG00000230035	3.0187	3.0187	3.0187	3.0187	3.437	3.0187	3.0187	3.0187
ENSG00000179023	3.0187	3.0187	3.0187	3.5816	3.0187	3.0187	3.0187	3.0187
ENSG00000159423	8.3522	8.6682	8.2515	8.2978	5.5566	5.6997	7.0398	6.1495
ENSG00000169991	9.7043	10.3463	10.6061	9.7685	9.151	8.3314	10.2618	10.5434
ENSG00000272084	3.8604	4.4947	4.6828	4.3578	3.6083	3.6634	3.9695	4.086
ENSG00000127481	12.3935	11.8329	12.6967	12.3867	13.0918	12.9926	13.4243	13.5458
ENSG00000230424	3.9566	3.643	4.522	4.6328	4.0264	3.6634	3.5005	4.086
ENSG00000127463	11.1537	11.6887	12.0357	11.6813	11.2152	10.9934	11.4791	12.2835
ENSG00000053372	10.6062	10.8591	11.3984	10.8204	9.3093	8.6538	10.2039	10.7912
ENSG00000211454	4.6396	4.7924	4.1046	4.5484	3.6083	4.35	3.8457	4.086
ENSG00000162482	4.9601	4.9944	4.6828	4.6328	4.0264	4.1179	4.5511	4.086
ENSG00000270728	4.8104	4.0841	5.1717	4.9206	5.2942	5.8957	5.3599	4.4973
ENSG00000053371	10.2959	10.5506	9.6493	10.1764	7.5341	7.2592	8.1508	7.871
ENSG00000200403	3.0187	3.4618	3.0187	3.8099	3.7383	3.6634	3.697	3.0187
ENSG00000040487	8.4896	9.3907	8.3926	8.7261	6.1039	5.8545	6.5682	6.4497
ENSG00000077549	12.818	13.1634	12.9016	13.1189	12.3257	12.4601	12.4701	12.5778
ENSG00000240490	3.0187	3.4618	3.0187	3.5816	3.0187	3.0187	3.0187	3.0187
ENSG00000235185	3.0187	3.4618	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187
ENSG00000173436	8.2245	8.8088	8.3718	7.6042	7.6473	7.6862	7.6517	7.9679
ENSG00000270136	3.0187	3.0187	3.0187	3.0187	3.0187	3.6634	3.0187	3.0187
ENSG00000226396	5.5004	4.8355	3.7954	4.5484	5.7199	4.2785	4.4854	4.5793
ENSG00000158747	7.0987	7.9358	8.0168	8.0683	5.371	6.2681	6.257	5.5642
ENSG00000158748	3.0187	3.0187	3.0187	3.0187	3.0187	3.4764	3.0187	3.0187
ENSG00000162542	8.4374	9.0034	8.3184	8.7556	7.0104	7.1292	7.6648	7.164
ENSG00000169914	8.8261	8.5982	8.9012	8.4755	8.8902	9.1229	9.0467	9.063
ENSG00000188257	3.0187	3.0187	3.7954	3.0187	6.0744	3.0187	3.5005	4.4087
ENSG00000127472	3.0187	3.0187	3.0187	3.0187	4.4703	4.6503	4.672	3.5614
ENSG00000117215	3.0187	3.0187	3.0187	3.0187	3.437	3.0187	3.0187	3.0187
ENSG00000158786	3.0187	3.0187	3.0187	3.5816	3.0187	3.0187	3.697	3.0187
