gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000169951	145.4575	124.8613	113.1017	116.2247	78.9168	61.7126	59.3039	68.4711
ENSG00000229809	207.1883	239.703	117.9145	184.9598	54.2124	42.7874	61.1286	59.1869
ENSG00000239791	0	0.7707	0	1.2497	0	0.8228	0.9124	1.1605
ENSG00000197162	172.4204	162.628	117.9145	167.4636	261.4548	348.059	193.4218	113.7317
ENSG00000260167	0	3.8537	4.8128	4.9989	1.3725	1.6457	0.9124	1.1605
ENSG00000261588	2.8382	3.083	0	1.2497	0.6862	0	2.7371	1.1605
ENSG00000156853	252.5994	233.537	245.4548	266.1921	255.965	265.7755	174.2621	222.8213
ENSG00000260678	0.7095	0	0	0	0	0	0.9124	0
ENSG00000156858	1089.1577	969.6023	705.0809	1154.7488	279.9831	217.2283	377.7199	369.0477
ENSG00000156860	2030.0197	1506.0436	1253.7445	1765.8659	443.3066	341.4763	624.9714	645.2533
ENSG00000261840	15.6101	8.4782	7.2193	11.2476	1.3725	1.6457	0	1.1605
ENSG00000080603	141.2003	48.5572	146.7916	153.7166	42.5465	83.1063	110.3964	69.6316
ENSG00000222287	1.4191	0	0	0	1.3725	6.5827	2.7371	1.1605
ENSG00000282034	12.7719	31.6007	14.4385	7.4984	11.666	18.1024	18.2473	12.7658
ENSG00000206755	0	0	0	0	0	4.1142	5.4742	1.1605
ENSG00000156873	423.6008	464.7617	565.5085	471.1475	143.4227	136.5905	201.6331	179.8818
ENSG00000196118	6.3859	5.3952	2.4064	2.4995	0	0	0	0
ENSG00000103549	1647.5728	1338.0203	1934.7611	1768.3653	446.0516	284.7007	662.3784	852.9877
ENSG00000280211	4.9668	6.9367	16.8449	3.7492	0.6862	0	3.6495	3.4816
ENSG00000102870	681.167	573.4373	539.0379	712.345	735.642	709.2833	658.729	639.4506
ENSG00000274678	0	0.7707	0	0	0	0	0	0
ENSG00000099385	828.0437	906.4009	560.6957	784.8293	357.5275	665.673	362.2097	269.2424
ENSG00000260083	6.3859	11.5612	7.2193	8.7481	3.4312	3.2913	2.7371	0
ENSG00000150281	48.2493	10.7905	19.2514	47.4897	24.7044	16.4567	26.4586	18.5684
ENSG00000230447	0	0	0	0	0	0	0.9124	0
ENSG00000260852	70.2454	55.4939	74.599	73.734	72.7407	73.2323	119.5201	129.9791
ENSG00000099364	811.0145	455.5127	409.0913	631.1127	133.1292	68.2953	265.4988	230.945
ENSG00000261487	0	0	0	0	0	2.4685	0	1.1605
ENSG00000175938	124.1711	198.8533	64.9733	148.7176	52.1537	57.5984	52.0049	27.8527
ENSG00000275263	3.5477	4.6245	0	0	2.0587	0.8228	1.8247	2.3211
ENSG00000099381	908.9323	777.6858	745.99	779.8304	218.2221	185.9606	335.7511	401.5425
ENSG00000279196	5.6764	5.3952	7.2193	11.2476	4.8036	1.6457	4.5618	1.1605
ENSG00000099377	42.5729	97.8851	64.9733	124.9728	28.1356	27.1535	49.2678	13.9263
ENSG00000099365	8.5146	10.7905	7.2193	21.2454	5.4899	10.6968	14.5979	2.3211
ENSG00000103496	1296.346	2035.5482	1041.9796	1343.4577	478.3045	315.9684	746.3162	635.9691
ENSG00000260911	0.7095	4.6245	2.4064	1.2497	1.3725	2.4685	8.2113	1.1605
ENSG00000232748	7.0955	10.7905	9.6257	9.9978	5.4899	6.5827	10.036	10.4447
ENSG00000167394	68.1167	57.8062	96.2568	89.9804	24.7044	27.9764	41.0565	41.779
ENSG00000261124	0	0.7707	0	2.4995	0	1.6457	4.5618	3.4816
ENSG00000167395	498.813	467.8447	579.9471	583.623	218.9084	190.0748	319.3284	292.4529
ENSG00000151006	37.6061	32.3715	31.2835	32.4929	11.666	2.4685	26.4586	10.4447
ENSG00000167397	451.2732	919.5036	399.4656	403.6622	137.9329	70.7638	218.0557	165.9554
ENSG00000280160	1.4191	3.083	0	4.9989	0	0	0	1.1605
ENSG00000103507	1722.785	1647.0907	1487.1671	2137.0351	349.9789	213.1141	616.7601	584.9059
ENSG00000103510	632.9177	661.3027	630.4819	611.1171	452.2277	472.307	395.0549	343.5161
ENSG00000262766	15.6101	4.6245	19.2514	12.4973	38.4291	34.559	31.9328	17.4079
ENSG00000278133	156.1008	154.9206	139.5723	108.7263	204.4975	346.4133	111.3088	124.1764
ENSG00000052344	0.7095	0	0	0	0.6862	0.8228	3.6495	1.1605
ENSG00000178226	2.8382	9.249	4.8128	11.2476	2.0587	0.8228	0.9124	0
ENSG00000263343	2.1286	1.5415	2.4064	1.2497	0.6862	0	0	1.1605
ENSG00000089280	10081.2723	9125.6687	12908.0332	11738.6963	3493.6131	3042.0188	6164.8637	7246.3336
ENSG00000260060	4.2573	5.3952	0	4.9989	5.4899	2.4685	10.9484	5.8026
